Name,Description
abc,Abstract base classes according to PEP 3119.
aifc,Read and write audio files in AIFF or AIFC format.
argparse,Command-line option and argument parsing library.
array,Space efficient arrays of uniformly typed numeric values.
ast,Abstract Syntax Tree classes and manipulation.
asynchat,Support for asynchronous command/response protocols.
asyncio,Asynchronous I/O.
asyncore,A base class for developing asynchronous socket handling services.
atexit,Register and execute cleanup functions.
audioop,Manipulate raw audio data.
base64,"RFC 3548: Base16, Base32, Base64 Data Encodings; Base85 and Ascii85"
bdb,Debugger framework.
binascii,Tools for converting between binary and various ASCII-encoded binary.
binhex,Encode and decode files in binhex4 format
bisect,Array bisection algorithms for binary searching.
builtins,The module that provides the built-in namespace.
bz2,Interfaces for bzip2 compression and decompression.
calendar,"Functions for working with calendars, including some emulation of the Unix cal program."
cgi,Helpers for running Python scripts via the Common Gateway Interface.
cgitb,Configurable traceback handler for CGI scripts.
chunk,Module to read IFF chunks.
cmath,Mathematical functions for complex numbers.
cmd,Build line-oriented command interpreters.
code,Facilities to implement read-eval-print loops.
codes,Encode and decode data and streams.
codeop,Compile (possibly incomplete) Python code.
collections,Container datatypes
colorsys,Conversion functions between RGB and other color systems.
compileall,Tools for byte-compiling all Python source files in a directory tree.
configparser,Configuration file parser.
contextlib,Utilities for with-statement contexts.
contextvars,Context Variables
copy,Shallow and deep copy operations.
copyreg,Register pickle support functions.
cProfile,"This function takes a single argument that can be passed to the exec() function, and an optional file name. In all cases this routine executes:"
crypy(Unix),The crypt() function used to check Unix passwords.
csv,Write and read tabular data to and from delimited files.
ctypes,A foreign function library for Python.
map(),The map() function is used to execute a specified function for each item in a inerrable.
.curses(Unix),"An interface to the curses library, providing portable terminal handling."
dataclasses,Generate special methods on user-defined classes.
datetime,Basic date and time types.
.dbm,"Interfaces to various Unix ""database"" formats."
decimal,Implementation of the General Decimal Arithmetic Specification.
difflib,Helpers for computing differences between objects.
dis,Disassembler for Python bytecode.
.distutils,Support for building and installing Python modules into an existing Python installation.
doctest,Test pieces of code within docstrings.
dummy_threading,Drop-in replacement for the threading module.
.email,"Package supporting the parsing, manipulating, and generating email messages."
ensurepip,"Bootstrapping the ""pip"" installer into an existing Python installation or virtual environment."
enum,The repr() function returns a string containing a printable representation of an object.
errno,Standard errno system symbols.
faulthandler,Dump the Python traceback.
fcntl (Unix),The fcntl() and ioctl() system calls.
filecmp,The setattr() function is used to set the value of the specified attribute of the specified object.
fileinput,Loop over standard input or a list of files.
fnmatch,Unix shell style filename pattern matching.
fractions,Rational numbers.
ftplib,The sum() function is used to get the sum of all items in an iterable.
functools,Higher-order functions and operations on callable objects.
